Gene,centrality
EEF1A1,0.4625
RPL13A,0.45
RPL30,0.4375
RPLP0,0.4375
RPS27A,0.4375
RPS6,0.425
RPL4,0.425
RPS25,0.425
RPL19,0.425
RPS18,0.425
RPL5,0.425
RPS27,0.425
RPS11,0.425
RPS8,0.425
RPL9,0.4125
RPL24,0.4125
RPL23A,0.4125
RPL12,0.4125
RPS3A,0.4125
RPL7A,0.4125
RPS13,0.4125
RPL21,0.4125
RPL11,0.4125
RPL3,0.4125
RPL27,0.4125
RPL39,0.4
RPS4X,0.4
EEF1G,0.4
RPSA,0.4
RPL26,0.4
RPS12,0.4
RPS7,0.4
TPT1,0.3875
RPL41,0.3125
ACTB,0.1875
UBC,0.15
B2M,0.1375
TYROBP,0.125
HLA-DRA,0.1125
LAPTM5,0.0875
FCGR3B,0.0875
HLA-B,0.075
HLA-C,0.075
HLA-E,0.075
ACTG1,0.075
HLA-A,0.0625
MNDA,0.0625
LCP1,0.05
S100A6,0.05
CXCR2,0.05
S100A8,0.05
HCLS1,0.05
S100A9,0.0375
NCF2,0.0375
SELL,0.0375
CTSS,0.0375
FPR1,0.0375
VIM,0.0375
CXCR1,0.0375
S100A12,0.0375
TMSB4X,0.025
FCER1G,0.025
IFITM1,0.025
MYL6,0.025
S100A4,0.025
IFITM3,0.025
IFITM2,0.025
AQP9,0.0125
TMSB10,0.0125
LYZ,0.0125
SRGN,0.0125
ARHGDIB,0.0125
EVI2B,0.0125
GMFG,0.0125
FTH1,0.0125
FTL,0.0125
S100A11,0.0125
CSF3R,0.0125
H3-3A,0.0125
TAGLN2,0.0125
PSAP,0.0125
